m_max,r_max,sampleweight
0.0281458972464316,21.9514841609634,0.000163503853631843
0.089053358824458,7.79651588527486,4.28299303119801e-05
0.0830557528231293,32.3826608445961,3.8524832407762e-05
0.0551669750758447,37.5507422920782,0.000102001818631538
0.0680739710503258,20.3471222857479,7.26672872190362e-05
0.0822378691122867,44.873237782158,4.03863981427774e-05
0.0672086127009243,43.718172237277,7.45941325520251e-05
0.0132212343299761,36.4987466321327,0.000153471658537062
0.0521876030554995,61.5554558718577,0.000108783096692724
0.0107208036491647,8.41568641597405,0.000146126322680408
0.0935525309271179,14.8389429331291,1.63090223090186e-05
0.0293837109953165,65.3373416978866,0.000160686495087214
0.037242745347321,5.94313644804061,0.000161698111960568
0.0261258560884744,49.3682341405656,0.000168101621447881
0.0204036716301925,9.33343489654362,0.000167389907956613
0.0523646758520045,39.619313563453,0.000108380065496226
0.0520701701613143,68.3652854815591,0.000109050382920681
0.0792017792887055,12.6213690824807,5.05466826901005e-05
0.0130640831380151,33.1266952678561,0.000153113970432637
0.0430537520372309,7.25728888064623,0.000141759388855414
0.0935913627129048,66.9725620851386,1.45449803722073e-05
0.0372052422817796,6.71635450446047,0.000156677326529465
0.0650428250199184,48.549258520361,7.95236305758035e-05
0.0566113740089349,15.4240939754527,9.94906477428815e-05
0.0693976805312559,56.5735625685193,6.96116471319747e-05
0.0335147073515691,52.7096254297067,0.000151284032162074
0.0591301884036511,12.5397284608334,9.54823495420996e-05
0.0453432829491794,43.6922515835613,0.000124361291514915
0.0880568804987706,49.7877997590695,2.71418842037685e-05
0.0689584748609923,9.89815653301775,7.75126191228935e-05
0.0207876635249704,62.8431684488896,0.00017069342874607
0.0724677665159106,46.1398178734817,6.26238971660333e-05
0.013229128762614,46.975586488843,0.000153489626868136
0.0747882266924717,24.8653017100878,5.73423527399881e-05
0.0756611278327182,9.18400016613305,6.47691411958722e-05
0.0994974135421217,18.314985781908,1.3849106449086e-06
0.0243703869590536,21.5118734794669,0.000172097203138634
0.0740512629016303,66.8537285283674,5.90197385624348e-05
0.0697139031253755,8.86397179565392,7.83976703200076e-05
0.0696727568027564,64.0582714474294,6.89855525481695e-05
0.0670186712103896,38.9974214415997,7.50264538780885e-05
0.0814444422442466,21.810090407962,4.21922982373795e-05
0.0282791870250367,49.8433077300433,0.000163200475924976
0.0892964708968066,57.2914095257875,2.43204818701035e-05
0.0144209641474299,34.2751211067662,0.000156202335147735
0.0873251090035774,63.0892288743053,2.88074519651185e-05
0.0108622791944072,67.9697748133913,0.000148102496646933
0.0122505901195109,48.6158856621478,0.000151262398248419
0.0440085164597258,46.495462852763,0.000127399321895119
