Homophily,Strong Force,Weak Force,Evidence,Pol-Opinion,Status-Quo Bias,Pol Int Feedback,Biased Assimilation,Shifting Baselines,sampleweight
0.88196815984237,0.157538516912609,0.0144803216553611,0.062630977621302,0.00376494213589467,9.11686493176967,8.69564815166895,0.25769260013476,1,5.8346715594972e-05
0.825020945260148,0.167762721888721,0.149066657767332,0.0798004055628553,0.000908220332348719,18.2342684199102,-14.149439214183,0.771147739840671,0,6.80603993831148e-05
0.935397129479094,0.53634863300249,0.0684614260966668,0.135874844086356,0.00156110069481656,26.9636707627215,8.8329488956074,0.753755643963814,1,5.31696658445075e-05
0.839141717211833,0.195827607065439,0.112837915715978,0.235488394531421,0.000354664593469352,6.69899753667414,-0.609368558506509,0.351539910305291,1,5.12800611063202e-05
0.949438796860144,0.407998312730342,0.360664153922805,0.138409085129388,0.00138722009025514,25.3091848769691,-16.4696219120172,0.659565600333735,1,5.0440300869313e-05
0.861254755893186,0.263185964897275,0.254744238614106,0.0487149173626676,0.00287002097815275,11.2659488476347,10.9862685017842,0.450808266876265,1,5.5599544062431e-05
0.819326172820481,0.477880694437772,0.161159258258323,0.164192776358686,0.00227524077170528,23.9563548183069,-12.1375382135868,0.59116592630744,1,5.73378357462412e-05
0.679127125090968,0.106111697619781,0.0482831051902568,0.123947412706912,0.00449139048927464,9.34487128490582,4.12158952691,0.161027050809935,0,7.00724101779353e-05
0.793548148770989,0.578072773758322,0.036541293687079,0.19475501650013,0.00162213845411316,11.7991529034916,-1.14024435824127,0.533683413406834,1,5.3294037956121e-05
0.908545872360743,0.422095152316615,0.0632614258961603,0.165295769367367,0.00189092527143657,13.4210287870374,-9.27759130912261,0.760690058581531,1,5.61302007713814e-05
0.802078259444898,0.696750812232494,0.463978024581683,0.140522651583888,0.00295149646815844,23.2782924042549,-20.9945305458786,0.144017102662474,1,3.57291079893123e-05
0.8270357143355,0.470567292999476,0.450454835295733,0.214786107768305,0.00238588831271045,14.360119224526,-0.189326129451722,0.32273927051574,1,4.83349025043952e-05
0.780491446863462,0.382383320713416,0.242964156260138,0.183150941552594,0.00327116658212617,21.9821163937449,7.99597484729531,0.916103583527729,0,5.81285265292747e-05
0.674629463278668,0.576566688716412,0.333298372880019,0.209959793183953,0.00434757088311017,3.22069883020595,-1.36027665696629,0.358509584097192,1,2.27368087782918e-05
0.766901297143161,0.726624510250986,0.441118317107847,0.299808244197629,0.00411959426477551,12.872010292951,-0.780766093970881,0.315551496809348,1,2.76266728805943e-05
0.856590882545529,0.778627724619582,0.230860981823947,0.022721854923293,0.00354982728487812,27.5244369930588,17.4310352133951,0.751857510767877,1,6.24856787700817e-05
0.793487615410194,0.202975241933018,0.117516961862301,0.202711495617405,0.00499942806432955,17.3895682319999,-16.0992795955755,0.642139853909612,1,6.34686268521605e-05
0.745749217276153,0.898318429011852,0.594635643790587,0.00098500361200422,0.00207882589311339,23.3472979671787,-22.2622509345265,0.149004275212064,0,3.6460878186624e-05
0.790156740407673,0.0339545793831348,0.0212053131123655,0.234938106313348,0.00374244835344143,3.9641699087806,-0.605827431198272,0.484889402985573,1,5.70056242421275e-05
0.981577268473359,0.285070394631475,0.0194379174498113,0.231815712992102,0.00172318089171313,2.51620059134439,-1.93371069446444,0.498792103957385,1,4.91165525805892e-05
