Year,Global Mean,Moscow,Riyadh,New Delhi,Beijing,Canberra,Phoenix,Madrid
1950,-0.2061302061351853,-0.24945587722868368,-0.9619093316266571,-0.44795769247872386,0.9788564243026485,0.34960306311336353,0.8765907637052806,0.7929341197100257
1951,0.060450735475797046,0.20745217871035493,0.15373333789625576,-0.2682936682798527,0.2767769465508536,0.14796030127058657,-0.3433931828085406,-0.7595590672444814
1952,0.026703350805291848,0.33346990493282647,0.07873751614056346,0.10201192784580826,-0.560439236259981,0.18510329728269426,-0.5017126794691649,-0.5105440874390297
1953,0.20297309883812886,0.20806507487691306,0.1684193652158683,0.10500621503888397,-0.09809974131758281,-0.050167900021506284,-0.13349345869710305,0.1499338931107559
1954,-0.10150540128461216,-0.2076417059886353,0.7350652620755227,-0.05908497662244372,-1.3000412385429172,0.15531199256020045,0.8118321064580414,0.15211169081158005
1955,0.06797976449820453,-0.37992851383501147,0.32414639812623136,0.0630159407524502,-0.14654937246768895,0.01577637346622396,-0.7062328101737876,1.295427782225488
1956,-0.39461998779688656,-1.6837953486635797,-0.29004523444564256,0.07226111560095205,-1.654866574732523,-0.7408694838661631,0.37536110781366006,-1.1988348736626904
1957,0.011671904329887184,1.2948813246828195,-0.23873522157691696,-0.2114947157486995,-1.4943959215092946,0.5349410709536642,0.0746802666694748,-0.09944458739937545
1958,0.27940915181625314,-0.2901204176239389,0.6749148156386582,0.29881509709406373,0.3247612688426216,-0.03420285074639651,0.4624949300659864,0.45840576992031856
1959,0.13185835622448394,0.3982355572281904,-0.6757735895953374,0.46186364983242356,0.6987536779631682,0.19616896587763222,0.24000749058131987,-0.061294543890653586
1960,0.10972996677378433,0.4078008117394347,0.6376968771730844,0.38620196785694816,0.9109065011659823,-0.29313903581510203,0.21263787009138468,0.005944217261458107
1961,0.2871511807290972,1.2828868693472941,-0.1544491746803942,-0.7479636500042375,1.859992931809984,0.2714937496443781,-0.08653287671813814,1.2581445143146084
1962,0.12530363871564987,0.3233899702865983,0.7551613017189993,-0.1543478033604515,0.9085007628641506,-0.23987652540017734,0.2570460314036609,0.23192744101879725
1963,0.2268789911240674,-0.8623219655216872,0.2346618512938221,0.7409935995851242,1.0385772111246752,0.12730946522287923,0.21889949680144127,-0.48847848700143004
1964,-0.11698506673292286,0.3458682494228924,-0.8287404947068353,-0.08565159937063527,-0.3822240124702603,-0.18065921598645218,-0.798201484432866,0.3939848357226765
1965,0.060020058894679096,-0.784003496207788,0.1350836582487318,0.6689392560223268,0.8078402561411622,0.3255973137845558,-0.6893679962822716,0.10713112989469664
1966,0.2189234207410209,0.6683203659461014,0.7790884117227961,0.4862725134202037,0.5845085423502496,-0.3885583966359718,0.16624957062822432,0.18254608887355062
1967,-0.06755159252224985,0.6502275311963785,-0.8829933241277104,-0.20841989358325463,-0.9605748667336229,0.4958433793142376,-0.23522451612416262,-0.17862892991843182
1968,-0.14434516644155337,-0.5822700375663317,0.03363459327442797,-0.17502566030054822,0.5587594624828398,0.18107314944791142,-0.2595739479452277,0.14503551687766958
1969,-0.19651589476711706,-2.1559118422946995,0.5687060506481885,0.39517103358093664,-1.5857294367970098,-0.19639447686017775,0.2853704646176993,-0.8259222406595654
1970,-0.025028132967463534,-0.13158045134809981,0.21428647768175324,-0.10497702873584558,-0.44506695519817185,-0.8019342554691775,-0.07149113194918755,0.3163652291100334
1971,-0.13247587518299042,-0.06136937058636249,-0.8413001510166396,-0.6763243394382812,0.002566975638274016,-0.6930413035670426,-0.6651501927262871,-1.1529250718599542
1972,-0.3078300686802322,1.0062594859282399,-0.9038399682585805,-0.10460698251085887,0.3226630783692599,-0.283869673887466,0.2723681358029353,-1.123807792007483
1973,0.19326353458814083,0.1801012842113323,0.11376419392422576,0.1202763604059669,-0.06723714309896422,0.2357002624753477,-0.291498402219986,-0.34625241375442783
1974,-0.3594807099088939,1.0827451355914945,-0.2627308285302661,0.6500590877495824,-0.24718129618872808,-0.34865644565002185,0.16922065218795979,-0.35037978670879966
1975,-0.07049395451531382,1.679767211942817,-0.6075437856225108,-0.4133606071206941,1.085015677694173,-0.02381723967050675,-0.5673374939419773,-0.5272726745442924
1976,-0.5254085234491868,-2.1053095375154953,-0.4293111519618833,-0.2666379976421922,-0.43771165113821553,-0.6371637113822999,-0.11060887576468303,-0.415291672964031
1977,0.00386396219460039,-0.04103980028344267,0.19936575409224133,-0.34675428498690053,-0.19600903463924624,0.045770691948519016,0.5448386356247283,-0.3343525534510263
1978,-0.17774485695849762,-1.3851140060480702,0.1748187196501476,-0.6133957484517509,0.25961693539511543,-0.11670714491242506,-0.002392664851868176,-0.12158300155306279
1979,0.03529480424776921,-0.03474895168506009,0.9829486236167213,0.5592310689946771,-0.6957116707233126,0.5410216745194703,-0.2546831482873131,-0.03580259734826541
1980,0.04682205714175325,-1.0630037192256623,0.7576665988051445,0.1606281204772131,-0.6738722944003257,0.63159753110358,0.39895961695947335,-0.08183311817992944
1981,0.2527109251611819,1.3813179803935327,0.6604716686526899,-0.004974857675847488,0.0705879452229965,0.5230013818709267,0.9572538926054222,0.5345148890764904
1982,-0.14467653114775203,0.26690511201491063,-1.0041928074649604,-0.5209824064803001,0.3733929251002337,0.6009143791652605,-0.7250639932235572,0.324166717389744
1983,0.24674953196495153,1.096321152201881,-0.686094895954966,-1.3594709419516562,0.7734830749184312,0.275736913612036,-0.8336324682609302,0.445630667541991
1984,-0.2892584440940027,-0.06833062756140862,-0.2515065694733494,-0.19509256369934747,-0.4312290076663885,-0.7388164151800538,-0.3765997258678908,-0.5636787096868829
